iter	Passed	Remaining
0	48	48412
1	50	24953
2	51	17076
3	52	13049
4	53	10616
5	54	9012
6	55	7859
7	56	6973
8	57	6297
9	58	5743
10	58	5290
11	59	4916
12	60	4596
13	61	4325
14	62	4102
15	63	3898
16	64	3719
17	65	3559
18	66	3415
19	67	3289
20	68	3181
21	69	3089
22	70	2998
23	71	2919
24	72	2840
25	73	2768
26	75	2703
27	76	2644
28	77	2587
29	78	2534
30	79	2485
31	80	2435
32	81	2390
33	82	2353
34	83	2312
35	84	2275
36	86	2240
37	87	2206
38	88	2174
39	89	2144
40	90	2114
41	91	2087
42	92	2058
43	93	2031
44	94	2008
45	95	1988
46	96	1965
47	97	1942
48	98	1920
49	99	1898
50	100	1877
51	101	1857
52	102	1837
53	103	1818
54	104	1802
55	105	1785
56	106	1770
57	108	1755
58	109	1741
59	110	1725
60	111	1711
61	112	1697
62	113	1687
63	114	1677
64	115	1665
65	116	1652
66	117	1639
67	118	1619
68	119	1607
69	120	1596
70	121	1586
71	122	1576
72	123	1563
73	124	1554
74	125	1545
75	126	1534
76	127	1523
77	128	1514
78	129	1504
79	129	1493
80	130	1484
81	131	1475
82	132	1465
83	133	1458
84	134	1444
85	135	1435
86	135	1425
87	136	1417
88	137	1407
89	138	1398
90	139	1389
91	139	1381
92	140	1372
93	141	1364
94	142	1356
95	143	1348
96	143	1340
97	144	1331
98	145	1322
99	145	1313
100	146	1306
101	147	1295
102	147	1287
103	148	1279
104	149	1271
105	149	1263
106	150	1255
107	150	1246
108	151	1238
109	152	1230
110	152	1222
111	153	1213
112	153	1205
113	154	1198
114	154	1190
115	155	1182
116	155	1175
117	156	1167
118	156	1160
119	157	1153
120	157	1146
121	158	1139
122	158	1130
123	158	1123
124	159	1116
125	159	1109
126	160	1102
127	160	1094
128	161	1088
129	161	1081
130	162	1075
131	162	1069
132	163	1063
133	163	1057
134	164	1050
135	164	1044
136	164	1038
137	165	1031
138	165	1025
139	165	1019
140	166	1013
141	166	1007
142	167	1001
143	167	995
144	167	989
145	168	983
146	168	977
147	168	972
148	169	966
149	169	961
150	169	955
151	170	950
152	170	944
153	170	938
154	171	933
155	171	927
156	171	922
157	172	917
158	172	912
159	172	906
160	173	901
161	173	896
162	173	891
163	173	886
164	174	881
165	174	876
166	174	871
167	175	866
168	175	862
169	175	857
170	175	852
171	176	848
172	176	843
173	176	838
174	176	834
175	177	829
176	177	825
177	177	821
178	178	816
179	178	812
180	178	807
181	178	803
182	178	798
183	179	794
184	179	790
185	179	786
186	179	781
187	180	777
188	180	773
189	180	769
190	180	765
191	180	761
192	181	757
193	181	753
194	181	749
195	181	745
196	182	741
197	182	738
198	182	734
199	182	730
200	182	726
201	183	723
202	183	719
203	183	715
204	183	712
205	183	708
206	184	705
207	184	702
208	184	698
209	184	695
210	185	691
211	185	688
212	185	685
213	185	682
214	185	678
215	186	675
216	186	672
217	186	669
218	186	666
219	186	662
220	187	659
221	187	656
222	187	653
223	187	650
224	188	647
225	188	644
226	188	641
227	188	638
228	188	635
229	189	632
230	189	630
231	189	627
232	189	624
233	189	621
234	190	618
235	190	615
236	190	613
237	190	610
238	190	607
239	191	604
240	191	602
241	191	599
242	191	596
243	191	594
244	191	591
245	192	589
246	192	586
247	192	583
248	192	581
249	192	578
250	193	576
251	193	573
252	193	571
253	193	569
254	193	566
255	194	564
256	194	562
257	194	559
258	194	557
259	195	555
260	195	553
261	195	550
262	195	548
263	195	546
264	196	544
265	196	542
266	196	539
267	196	537
268	197	535
269	197	533
270	197	531
271	197	529
272	197	527
273	198	524
274	198	522
275	198	520
276	198	518
277	198	516
278	199	514
279	199	512
280	199	510
281	199	508
282	199	506
283	200	504
284	200	502
285	200	500
286	200	498
287	200	496
288	201	494
289	201	492
290	201	490
291	201	489
292	201	487
293	202	485
294	202	483
295	202	481
296	202	479
297	202	477
298	203	476
299	203	474
300	203	472
301	203	470
302	203	468
303	204	467
304	204	465
305	204	463
306	204	461
307	204	460
308	205	458
309	205	456
310	205	455
311	205	453
312	205	451
313	206	450
314	206	448
315	206	446
316	206	445
317	206	443
318	207	442
319	207	440
320	207	438
321	207	437
322	207	435
323	208	434
324	208	432
325	208	430
326	208	429
327	208	427
328	209	426
329	209	424
330	209	423
331	209	421
332	209	420
333	210	418
334	210	417
335	210	415
336	210	414
337	210	412
338	211	411
339	211	410
340	211	408
341	211	407
342	211	405
343	212	404
344	212	403
345	212	401
346	212	400
347	212	398
348	213	397
349	213	396
350	213	394
351	213	393
352	213	392
353	214	390
354	214	389
355	214	388
356	214	386
357	215	385
358	215	384
359	215	382
360	215	381
361	215	380
362	216	379
363	216	377
364	216	376
365	216	375
366	216	373
367	217	372
368	217	371
369	217	370
370	217	368
371	217	367
372	218	366
373	218	365
374	218	364
375	218	362
376	218	361
377	219	360
378	219	359
379	219	358
380	219	356
381	219	355
382	220	354
383	220	353
384	220	352
385	220	350
386	220	349
387	221	348
388	221	347
389	221	346
390	221	345
391	221	344
392	222	342
393	222	341
394	222	340
395	222	339
396	222	338
397	223	337
398	223	336
399	223	335
400	223	334
401	223	332
402	224	331
403	224	330
404	224	329
405	224	328
406	224	327
407	225	326
408	225	325
409	225	324
410	225	323
411	225	322
412	226	321
413	226	320
414	226	319
415	226	318
416	226	317
417	226	316
418	227	315
419	227	314
420	227	313
421	227	312
422	228	311
423	228	310
424	228	309
425	228	308
426	228	307
427	229	306
428	229	305
429	229	304
430	229	303
431	229	302
432	230	301
433	230	300
434	230	299
435	230	298
436	230	297
437	231	296
438	231	295
439	231	294
440	231	293
441	231	292
442	232	291
443	232	290
444	232	289
445	232	289
446	232	288
447	233	287
448	233	286
449	233	285
450	233	284
451	233	283
452	234	282
453	234	281
454	234	280
455	234	279
456	234	279
457	235	278
458	235	277
459	235	276
460	235	275
461	235	274
462	236	273
463	236	272
464	236	272
465	236	271
466	236	270
467	237	269
468	237	268
469	237	267
470	237	266
471	237	266
472	238	265
473	238	264
474	238	263
475	238	262
476	238	261
477	239	261
478	239	260
479	239	259
480	239	258
481	239	257
482	240	256
483	240	256
484	240	255
485	240	254
486	240	253
487	241	252
488	241	252
489	241	251
490	241	250
491	241	249
492	242	248
493	242	248
494	242	247
495	242	246
496	242	245
497	243	244
498	243	244
499	243	243
500	243	242
501	243	241
502	244	241
503	244	240
504	244	239
505	244	238
506	244	238
507	244	237
508	245	236
509	245	235
510	245	235
511	245	234
512	246	233
513	246	232
514	246	232
515	246	231
516	246	230
517	247	230
518	247	229
519	247	228
520	247	227
521	248	227
522	248	226
523	248	225
524	248	225
525	249	224
526	249	223
527	249	223
528	249	222
529	249	221
530	250	220
531	250	220
532	250	219
533	250	218
534	250	218
535	251	217
536	251	216
537	251	216
538	251	215
539	251	214
540	252	213
541	252	213
542	252	212
543	252	211
544	252	211
545	253	210
546	253	209
547	253	209
548	253	208
549	253	207
550	254	207
551	254	206
552	254	205
553	254	205
554	254	204
555	255	203
556	255	203
557	255	202
558	255	201
559	255	201
560	256	200
561	256	199
562	256	199
563	256	198
564	256	197
565	257	197
566	257	196
567	257	195
568	257	195
569	258	194
570	258	194
571	258	193
572	258	192
573	258	192
574	259	191
575	259	190
576	259	190
577	259	189
578	259	188
579	260	188
580	260	187
581	260	187
582	260	186
583	260	185
584	261	185
585	261	184
586	261	183
587	261	183
588	261	182
589	262	182
590	262	181
591	262	180
592	262	180
593	262	179
594	263	179
595	263	178
596	263	177
597	263	177
598	263	176
599	264	176
600	264	175
601	264	174
602	264	174
603	264	173
604	265	173
605	265	172
606	265	171
607	265	171
608	265	170
609	266	170
610	266	169
611	266	168
612	266	168
613	266	167
614	267	167
615	267	166
616	267	166
617	267	165
618	267	164
619	268	164
620	268	163
621	268	163
622	268	162
623	268	162
624	269	161
625	269	160
626	269	160
627	269	159
